Timestamp,Open,High,Low,Close,Volume,Date,Hour
1679635800,28281,28289,28217,28233,1,2023-03-24,05:30
1679636700,28228,28234,28154,28188,2,2023-03-24,05:45
1679637600,28188,28215,28188,28191,11,2023-03-24,06:00
1679638500,28190,28241,28181,28233,1,2023-03-24,06:15
1679639400,28232,28233,28179,28219,0,2023-03-24,06:30
1679640300,28219,28230,28207,28210,0,2023-03-24,06:45
1679641200,28225,28250,28216,28235,2,2023-03-24,07:00
1679642100,28236,28241,28210,28213,1,2023-03-24,07:15
1679643000,28208,28210,28147,28172,0,2023-03-24,07:30
1679643900,28172,28185,28113,28127,0,2023-03-24,07:45
1679644800,28132,28211,28132,28204,3,2023-03-24,08:00
1679645700,28204,28245,28204,28222,0,2023-03-24,08:15
1679646600,28222,28294,28222,28272,0,2023-03-24,08:30
1679647500,28276,28285,28267,28285,0,2023-03-24,08:45
1679648400,28284,28295,28256,28282,0,2023-03-24,09:00
1679649300,28283,28333,28240,28331,0,2023-03-24,09:15
1679650200,28330,28330,28285,28285,0,2023-03-24,09:30
1679651100,28284,28284,28250,28258,0,2023-03-24,09:45
1679652000,28259,28273,28230,28232,1,2023-03-24,10:00
1679652900,28228,28235,28168,28195,3,2023-03-24,10:15
1679653800,28200,28277,28200,28274,2,2023-03-24,10:30
1679654700,28273,28316,28273,28283,8,2023-03-24,10:45
1679655600,28277,28299,28139,28184,0,2023-03-24,11:00
1679656500,28189,28223,28158,28171,0,2023-03-24,11:15
1679657400,28172,28173,28005,28055,14,2023-03-24,11:30
1679658300,28065,28065,27956,28036,54,2023-03-24,11:45
1679659200,28027,28109,28019,28037,35,2023-03-24,12:00
1679660100,28034,28185,28034,28179,2,2023-03-24,12:15
1679661000,28188,28188,28068,28100,0,2023-03-24,12:30
1679661900,28102,28105,28024,28044,26,2023-03-24,12:45
1679662800,28041,28081,27960,27994,30,2023-03-24,13:00
1679663700,27991,28044,27961,27989,70,2023-03-24,13:15
1679664600,27983,28025,27966,28018,14,2023-03-24,13:30
1679665500,28018,28042,27985,28033,2,2023-03-24,13:45
1679666400,28026,28039,27970,28039,0,2023-03-24,14:00
1679667300,28043,28086,28001,28076,0,2023-03-24,14:15
1679668200,28077,28083,28024,28027,0,2023-03-24,14:30
1679669100,28020,28020,27425,27598,4,2023-03-24,14:45
1679670000,27574,27842,27551,27789,0,2023-03-24,15:00
1679670900,27793,28111,27793,27979,56,2023-03-24,15:15
1679671800,27976,28021,27889,27998,7,2023-03-24,15:30
1679672700,28006,28025,27965,27965,10,2023-03-24,15:45
1679673600,27961,27973,27884,27894,51,2023-03-24,16:00
1679674500,27885,27912,27717,27890,2,2023-03-24,16:15
1679675400,27886,27908,27695,27770,0,2023-03-24,16:30
1679676300,27756,27985,27686,27939,42,2023-03-24,16:45
1679677200,27922,28246,27835,28246,63,2023-03-24,17:00
1679678100,28148,28159,27994,28114,40,2023-03-24,17:15
1679679000,28104,28205,27973,28003,55,2023-03-24,17:30
1679679900,28003,28067,27987,27999,0,2023-03-24,17:45
1679680800,27994,28023,27863,27863,0,2023-03-24,18:00
1679681700,27875,27991,27874,27973,0,2023-03-24,18:15
1679682600,27970,27994,27898,27949,0,2023-03-24,18:30
1679683500,27950,28068,27950,28030,0,2023-03-24,18:45
1679684400,28030,28053,27935,28001,0,2023-03-24,19:00
1679685300,28006,28010,27945,27945,0,2023-03-24,19:15
1679686200,27946,27946,27857,27916,0,2023-03-24,19:30
1679687100,27916,27939,27880,27880,0,2023-03-24,19:45
1679688000,27842,27905,27752,27801,0,2023-03-24,20:00
1679688900,27800,27840,27573,27698,0,2023-03-24,20:15
1679689800,27690,27790,27622,27624,0,2023-03-24,20:30
1679690700,27640,27706,27536,27623,20,2023-03-24,20:45
1679691600,27620,27693,27584,27666,9,2023-03-24,21:00
1679692500,27650,27732,27650,27732,0,2023-03-24,21:15
1679693400,27740,27779,27669,27779,0,2023-03-24,21:30
1679694300,27763,27829,27706,27751,0,2023-03-24,21:45
1679695200,27756,27780,27705,27772,0,2023-03-24,22:00
1679696100,27767,27855,27767,27849,0,2023-03-24,22:15
1679697000,27851,27880,27819,27821,0,2023-03-24,22:30
1679697900,27818,27842,27781,27832,0,2023-03-24,22:45
1679698800,27831,27854,27775,27791,0,2023-03-24,23:00
1679699700,27797,27826,27701,27701,0,2023-03-24,23:15
1679700600,27718,27739,27525,27567,20,2023-03-24,23:30
1679701500,27551,27639,27516,27600,0,2023-03-24,23:45
1679702400,27598,27624,27389,27407,7,2023-03-25,00:00
1679703300,27437,27447,27084,27204,0,2023-03-25,00:15
1679704200,27200,27326,27017,27268,25,2023-03-25,00:30
1679705100,27266,27396,27266,27360,0,2023-03-25,00:45
1679706000,27343,27436,27306,27429,0,2023-03-25,01:00
1679706900,27419,27434,27370,27415,0,2023-03-25,01:15
1679707800,27420,27420,27381,27395,4,2023-03-25,01:30
1679708700,27395,27400,27307,27313,0,2023-03-25,01:45
1679709600,27292,27381,27292,27381,0,2023-03-25,02:00
1679710500,27373,27506,27365,27454,1,2023-03-25,02:15
1679711400,27454,27467,27412,27412,0,2023-03-25,02:30
1679712300,27426,27463,27407,27458,0,2023-03-25,02:45
1679713200,27458,27466,27442,27465,0,2023-03-25,03:00
1679714100,27467,27505,27467,27496,0,2023-03-25,03:15
1679715000,27503,27570,27503,27570,0,2023-03-25,03:30
1679715900,27581,27582,27550,27567,0,2023-03-25,03:45
1679716800,27567,27573,27519,27522,0,2023-03-25,04:00
1679717700,27521,27522,27475,27508,0,2023-03-25,04:15
1679718600,27511,27530,27447,27452,0,2023-03-25,04:30
1679719500,27457,27500,27451,27500,0,2023-03-25,04:45
1679720400,27503,27540,27481,27540,0,2023-03-25,05:00
1679721300,27546,27657,27546,27639,8,2023-03-25,05:15
1679722200,27645,27645,27595,27601,0,2023-03-25,05:30
1679723100,27595,27607,27585,27607,0,2023-03-25,05:45
1679724000,27606,27619,27597,27597,0,2023-03-25,06:00
1679724900,27596,27629,27596,27629,0,2023-03-25,06:15
1679725800,27625,27646,27608,27616,0,2023-03-25,06:30
1679726700,27609,27609,27566,27601,0,2023-03-25,06:45
1679727600,27603,27618,27559,27574,1,2023-03-25,07:00
1679728500,27573,27606,27573,27606,0,2023-03-25,07:15
1679729400,27605,27605,27572,27573,2,2023-03-25,07:30
1679730300,27572,27572,27526,27550,0,2023-03-25,07:45
