Timestamp,Open,High,Low,Close,Volume,Date,Hour
1679403600,107.2,107.25,107.2,107.2,27129,2023-03-21,13:00
1679404500,107.15,107.25,107.1,107.1,14915,2023-03-21,13:15
1679405400,107.1,107.15,107.05,107.15,13427,2023-03-21,13:30
1679406300,107.15,107.35,107.1,107.35,12706,2023-03-21,13:45
1679407200,107.35,107.35,107.15,107.2,5872,2023-03-21,14:00
1679408100,107.3,107.3,107.15,107.25,804,2023-03-21,14:15
1679409000,107.2,107.2,107.1,107.15,6688,2023-03-21,14:30
1679409900,107.15,107.15,107.1,107.1,991,2023-03-21,14:45
1679410800,107.1,107.1,107.05,107.05,11011,2023-03-21,15:00
1679411700,107.05,107.05,106.9,107,39754,2023-03-21,15:15
1679412600,107,107.1,106.95,107.05,2021,2023-03-21,15:30
1679413500,107,107.35,106.9,107.1,66103,2023-03-21,15:45
1679414400,107.1,107.25,106.9,106.9,17958,2023-03-21,16:00
1679415300,106.95,107.1,106.95,107.1,3649,2023-03-21,16:15
1679416200,107,107,106.8,106.8,11072,2023-03-21,16:30
1679417100,106.55,106.55,106.2,106.4,22631,2023-03-21,16:45
1679418000,106.3,106.3,105.7,105.7,22280,2023-03-21,17:00
1679418900,105.55,106.25,105.55,106.25,22734,2023-03-21,17:15
1679419800,106.2,106.2,106.05,106.2,12453,2023-03-21,17:30
1679420700,106.1,106.25,106.05,106.25,9894,2023-03-21,17:45
1679421600,106.3,106.3,106.3,106.3,7633,2023-03-21,18:00
1679479200,106.25,106.25,105.85,105.9,54640,2023-03-22,10:00
1679480100,105.9,106.05,105.85,105.85,33326,2023-03-22,10:15
1679481000,105.85,105.95,105.7,105.75,14305,2023-03-22,10:30
1679481900,105.85,105.95,105.8,105.95,14169,2023-03-22,10:45
1679482800,105.95,106.1,105.85,106,24303,2023-03-22,11:00
1679483700,106.1,106.1,105.95,106.05,9831,2023-03-22,11:15
1679484600,106.15,106.2,105.9,105.9,75345,2023-03-22,11:30
1679485500,105.9,105.95,105.8,105.8,10257,2023-03-22,11:45
1679486400,105.8,106,105.8,106,8568,2023-03-22,12:00
1679487300,106.05,106.05,105.95,105.95,4587,2023-03-22,12:15
1679488200,106,106.2,106,106.15,27428,2023-03-22,12:30
1679489100,106.15,106.15,106.1,106.1,4571,2023-03-22,12:45
1679490000,106.15,106.15,106.15,106.15,8932,2023-03-22,13:00
1679490900,106.15,106.2,106.15,106.2,16372,2023-03-22,13:15
1679491800,106.1,106.1,106,106,22523,2023-03-22,13:30
1679492700,106.1,106.2,106.1,106.2,9834,2023-03-22,13:45
