Timestamp,Open,High,Low,Close,Volume,Date,Hour
1678158000,22404,22414,22396,22396,4,2023-03-07,03:00
1678158900,22397,22398,22381,22390,8,2023-03-07,03:15
1678159800,22397,22410,22396,22406,65,2023-03-07,03:30
1678160700,22405,22408,22393,22408,1,2023-03-07,03:45
1678161600,22407,22442,22407,22442,39,2023-03-07,04:00
1678162500,22486,22500,22459,22462,14,2023-03-07,04:15
1678163400,22461,22461,22448,22455,0,2023-03-07,04:30
1678164300,22448,22491,22447,22481,0,2023-03-07,04:45
1678165200,22481,22494,22466,22466,0,2023-03-07,05:00
1678166100,22464,22476,22463,22470,0,2023-03-07,05:15
1678167000,22473,22502,22473,22480,0,2023-03-07,05:30
1678167900,22483,22501,22483,22501,0,2023-03-07,05:45
1678168800,22502,22552,22488,22491,9,2023-03-07,06:00
1678169700,22491,22497,22465,22470,0,2023-03-07,06:15
1678170600,22470,22477,22454,22454,2,2023-03-07,06:30
1678171500,22454,22466,22454,22458,1,2023-03-07,06:45
1678172400,22459,22470,22456,22470,0,2023-03-07,07:00
1678173300,22469,22470,22467,22470,0,2023-03-07,07:15
1678174200,22466,22466,22459,22466,0,2023-03-07,07:30
1678175100,22466,22472,22466,22472,0,2023-03-07,07:45
1678176000,22473,22473,22469,22470,3,2023-03-07,08:00
1678176900,22469,22470,22469,22470,0,2023-03-07,08:15
1678177800,22468,22469,22468,22469,0,2023-03-07,08:30
1678178700,22468,22468,22454,22459,0,2023-03-07,08:45
1678179600,22460,22460,22450,22450,0,2023-03-07,09:00
1678180500,22451,22451,22437,22440,1,2023-03-07,09:15
1678181400,22441,22451,22423,22436,0,2023-03-07,09:30
1678182300,22436,22446,22436,22445,0,2023-03-07,09:45
1678183200,22446,22452,22432,22452,0,2023-03-07,10:00
1678184100,22452,22456,22422,22432,0,2023-03-07,10:15
1678185000,22432,22440,22429,22434,0,2023-03-07,10:30
1678185900,22433,22434,22425,22425,0,2023-03-07,10:45
1678186800,22426,22426,22400,22409,1,2023-03-07,11:00
1678187700,22404,22413,22404,22410,9,2023-03-07,11:15
1678188600,22409,22410,22402,22409,0,2023-03-07,11:30
1678189500,22410,22416,22407,22416,1,2023-03-07,11:45
1678190400,22415,22416,22411,22412,0,2023-03-07,12:00
1678191300,22414,22414,22382,22386,3,2023-03-07,12:15
1678192200,22385,22394,22363,22371,2,2023-03-07,12:30
1678193100,22360,22397,22358,22386,8,2023-03-07,12:45
1678194000,22387,22410,22382,22406,1,2023-03-07,13:00
1678194900,22405,22423,22405,22423,4,2023-03-07,13:15
1678195800,22425,22428,22406,22406,4,2023-03-07,13:30
1678196700,22405,22405,22379,22382,3,2023-03-07,13:45
1678197600,22375,22394,22375,22394,5,2023-03-07,14:00
1678198500,22393,22394,22378,22383,8,2023-03-07,14:15
1678199400,22382,22393,22378,22378,3,2023-03-07,14:30
1678200300,22379,22379,22338,22346,29,2023-03-07,14:45
1678201200,22347,22387,22340,22386,12,2023-03-07,15:00
1678202100,22387,22390,22378,22379,11,2023-03-07,15:15
1678203000,22376,22384,22370,22379,3,2023-03-07,15:30
1678203900,22382,22410,22382,22408,3,2023-03-07,15:45
1678204800,22409,22410,22393,22397,6,2023-03-07,16:00
1678205700,22397,22410,22397,22398,0,2023-03-07,16:15
1678206600,22397,22397,22377,22389,0,2023-03-07,16:30
1678207500,22388,22421,22371,22372,42,2023-03-07,16:45
1678208400,22371,22371,22343,22350,12,2023-03-07,17:00
1678209300,22349,22381,22327,22347,120,2023-03-07,17:15
1678210200,22346,22366,22222,22311,0,2023-03-07,17:30
1678211100,22310,22335,22308,22322,0,2023-03-07,17:45
1678212000,22316,22316,21967,22048,349,2023-03-07,18:00
1678212900,22052,22359,22025,22206,75,2023-03-07,18:15
1678213800,22221,22467,22221,22339,34,2023-03-07,18:30
1678214700,22343,22392,22310,22336,67,2023-03-07,18:45
