Timestamp,Open,High,Low,Close,Volume,Date,Hour
1669431600,12.83,13.22,12.63,12.75,902048,2022-11-26,03:00
1669518000,12.76,13.25,12.7,12.86,894078,2022-11-27,03:00
1669604400,12.86,12.99,11.99,12.45,1800458,2022-11-28,03:00
1669690800,12.45,12.72,12.3,12.47,1717730,2022-11-29,03:00
1669777200,12.47,13.19,12.47,13.15,1761485,2022-11-30,03:00
1669863600,13.15,13.31,12.81,12.9,1309897,2022-12-01,03:00
1669950000,12.91,13.64,12.8,13.59,1771593,2022-12-02,03:00
1670036400,13.6,13.87,13.32,13.4,1662062,2022-12-03,03:00
1670122800,13.41,13.94,13.4,13.93,1096732,2022-12-04,03:00
1670209200,13.94,14.32,13.47,13.6,1433242,2022-12-05,03:00
1670295600,13.6,13.68,13.47,13.68,800309,2022-12-06,03:00
1670382000,13.68,13.69,13,13.28,1097836,2022-12-07,03:00
1670468400,13.28,13.51,13.06,13.42,894222,2022-12-08,03:00
1670554800,13.43,13.61,13.36,13.46,725966,2022-12-09,03:00
1670641200,13.46,13.58,13.34,13.5,507102,2022-12-10,03:00
1670727600,13.49,13.5,12.94,12.98,612254,2022-12-11,03:00
1670814000,12.99,13.05,12.54,13,1072354,2022-12-12,03:00
1670900400,13.01,14.13,12.57,13.76,3034748,2022-12-13,03:00
1670986800,13.76,14.17,13.58,13.71,1646728,2022-12-14,03:00
1671073200,13.73,13.88,13.1,13.17,1230272,2022-12-15,03:00
1671159600,13.15,13.29,11.6,11.84,1740807,2022-12-16,03:00
1671246000,11.82,11.98,11.53,11.96,854586,2022-12-17,03:00
1671332400,11.96,12.02,11.8,11.91,648936,2022-12-18,03:00
1671418800,11.94,12.09,11.24,11.4,991225,2022-12-19,03:00
1671505200,11.39,12.03,11.35,11.95,1211413,2022-12-20,03:00
1671591600,11.96,11.98,11.63,11.7,551670,2022-12-21,03:00
1671678000,11.71,11.85,11.47,11.85,624129,2022-12-22,03:00
1671764400,11.86,11.88,11.73,11.78,503706,2022-12-23,03:00
1671850800,11.78,11.83,11.65,11.67,345970,2022-12-24,03:00
1671937200,11.68,11.73,11.52,11.68,630795,2022-12-25,03:00
1672023600,11.68,11.78,11.57,11.72,656380,2022-12-26,03:00
1672110000,11.73,11.79,11.56,11.64,843496,2022-12-27,03:00
1672196400,11.65,11.66,11.11,11.21,964246,2022-12-28,03:00
1672282800,11.21,11.22,10.63,10.98,1028069,2022-12-29,03:00
1672369200,10.97,10.97,10.63,10.87,1040413,2022-12-30,03:00
1672455600,10.87,11.05,10.84,10.9,442886,2022-12-31,03:00
1672542000,10.9,10.94,10.65,10.87,856549,2023-01-01,03:00
1672628400,10.87,11.25,10.72,11.16,989694,2023-01-02,03:00
1672714800,11.16,11.55,11.07,11.38,1149911,2023-01-03,03:00
1672801200,11.38,12.29,11.36,12.08,1888359,2023-01-04,03:00
1672887600,12.08,12.16,11.69,11.74,1194411,2023-01-05,03:00
1672974000,11.74,11.82,11.36,11.78,1216484,2023-01-06,03:00
1673060400,11.78,11.86,11.65,11.73,507798,2023-01-07,03:00
1673146800,11.75,12.15,11.59,12.08,982703,2023-01-08,03:00
1673233200,12.11,12.64,12.09,12.19,2600040,2023-01-09,03:00
1673319600,12.19,12.94,12.03,12.72,1872724,2023-01-10,03:00
1673406000,12.73,15.96,12.29,15.86,9296750,2023-01-11,03:00
1673492400,15.79,16.4,14.78,15.44,8268342,2023-01-12,03:00
1673578800,15.41,16.58,14.99,15.96,5273581,2023-01-13,03:00
1673665200,15.93,18.43,15.9,16.95,10286509,2023-01-14,03:00
1673751600,16.94,17.07,16.02,16.8,4679642,2023-01-15,03:00
1673838000,16.81,17.29,16.15,16.74,3928124,2023-01-16,03:00
1673924400,16.73,18.18,16.59,17.13,4359888,2023-01-17,03:00
1674010800,17.18,17.41,15.73,15.84,4109479,2023-01-18,03:00
1674097200,15.84,16.28,15.71,16.19,2010825,2023-01-19,03:00
1674183600,16.19,17.55,15.86,17.51,3084386,2023-01-20,03:00
1674270000,17.48,17.75,16.86,16.87,3799511,2023-01-21,03:00
1674356400,16.89,18.41,16.84,17.34,4196676,2023-01-22,03:00
1674442800,17.38,18.3,17.33,17.98,3275693,2023-01-23,03:00
1674529200,17.97,18.95,16.87,17.01,3500718,2023-01-24,03:00
1674615600,17,18.23,16.56,17.78,2662039,2023-01-25,03:00
1674702000,17.8,18.77,17.79,18.1,3442458,2023-01-26,03:00
1674788400,18.12,21.61,17.57,21.2,4902904,2023-01-27,03:00
1674874800,21.24,21.72,20.1,20.58,4472541,2023-01-28,03:00
1674961200,20.52,21.16,20.16,21.03,2602543,2023-01-29,03:00
1675047600,20.97,21.28,19.35,19.74,4917977,2023-01-30,03:00
1675134000,19.74,20.14,19.35,19.81,2564629,2023-01-31,03:00
1675220400,19.83,20.99,18.74,20.95,4614247,2023-02-01,03:00
1675306800,20.98,22.76,20.98,21.17,6297667,2023-02-02,03:00
1675393200,21.26,21.87,20.82,21.35,3285405,2023-02-03,03:00
1675479600,21.34,21.67,20.92,21.05,2173061,2023-02-04,03:00
1675566000,21,21.13,19.72,20.08,2977470,2023-02-05,03:00
1675652400,20.09,20.42,19.51,19.54,1855992,2023-02-06,03:00
1675738800,19.57,20.97,19.53,20.85,2538766,2023-02-07,03:00
1675825200,20.85,21.01,19.67,20.11,1760635,2023-02-08,03:00
1675911600,20.12,20.24,17.61,17.91,3124751,2023-02-09,03:00
1675998000,17.87,18.23,17.54,17.79,1666569,2023-02-10,03:00
1676084400,17.77,18.09,17.68,18.01,937610,2023-02-11,03:00
1676170800,18.01,18.48,17.54,17.78,2661874,2023-02-12,03:00
1676257200,17.78,17.86,16.86,17.62,1833282,2023-02-13,03:00
1676343600,17.65,18.27,17.34,18.14,2085037,2023-02-14,03:00
1676430000,18.15,19.94,17.92,19.94,2158656,2023-02-15,03:00
1676516400,19.94,20.34,18.56,18.59,3100357,2023-02-16,03:00
1676602800,18.56,19.64,18.51,19.47,1832698,2023-02-17,03:00
1676689200,19.45,20.1,19.33,19.55,2370184,2023-02-18,03:00
1676775600,19.54,20.37,19.37,19.83,2282077,2023-02-19,03:00
1676862000,19.87,21.33,19.1,20.82,3948550,2023-02-20,03:00
1676948400,20.9,21.63,19.98,20.97,4109572,2023-02-21,03:00
1677034800,21,21.53,19.59,20.32,5075599,2023-02-22,03:00
1677121200,20.33,20.71,19.52,19.71,2303332,2023-02-23,03:00
1677207600,19.68,19.82,18.05,18.38,2529705,2023-02-24,03:00
1677294000,18.37,18.61,17.5,17.95,2202619,2023-02-25,03:00
1677380400,17.95,18.57,17.83,18.44,1012153,2023-02-26,03:00
1677466800,18.44,18.63,17.75,17.93,1410782,2023-02-27,03:00
1677553200,17.93,17.94,16.94,17.09,1522707,2023-02-28,03:00
1677639600,17.09,17.8,16.98,17.78,1103233,2023-03-01,03:00
1677726000,17.78,17.85,17.13,17.46,877426,2023-03-02,03:00
1677812400,17.47,17.48,15.88,16.66,1999988,2023-03-03,03:00
1677898800,16.67,16.89,15.76,16.14,1088076,2023-03-04,03:00
1677985200,16.14,16.52,16.07,16.14,745976,2023-03-05,03:00
1678071600,16.11,16.63,15.83,16.51,1348309,2023-03-06,03:00
1678158000,16.52,16.71,15.87,16.17,1446512,2023-03-07,03:00
1678244400,16.18,16.26,15.02,15.12,1624836,2023-03-08,03:00
1678330800,15.16,15.68,14.21,14.43,2487751,2023-03-09,03:00
1678417200,14.42,15.1,13.93,14.8,3177234,2023-03-10,03:00
1678503600,14.82,15.16,13.93,14.51,2625847,2023-03-11,03:00
1678590000,14.49,16.25,14.21,16.15,2932290,2023-03-12,03:00
1678676400,16.19,16.75,15.47,16.46,3655935,2023-03-13,03:00
1678762800,16.47,17.87,16.09,17.15,4819979,2023-03-14,03:00
1678849200,17.15,17.42,15.35,15.55,3381283,2023-03-15,03:00
1678935600,15.56,16.05,15.26,15.84,2105263,2023-03-16,03:00
1679022000,15.83,17.76,15.64,17.65,2624531,2023-03-17,03:00
1679108400,17.64,18.17,16.88,16.98,2991868,2023-03-18,03:00
1679194800,16.99,18.07,16.98,17.5,1927092,2023-03-19,03:00
1679281200,17.55,17.76,16.55,16.63,2419878,2023-03-20,03:00
1679367600,16.63,17.54,16.35,17.44,2044867,2023-03-21,03:00
1679454000,17.44,17.92,16.32,16.73,3534223,2023-03-22,03:00
1679540400,16.75,17.82,16.58,17.54,2132835,2023-03-23,03:00
1679626800,17.55,17.64,16.69,16.94,1168343,2023-03-24,03:00
1679713200,16.95,17.15,16.81,16.82,1061105,2023-03-25,03:00
